=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Suhail Jute,86.60,85.97,85.97,85.97,85.97,,20
=== LEASING COMPANIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf LeasingXD,21.93,21.9,21.9,19.91,21.77,-1.77,"3,514"
=== LEATHER & TANNERIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata (Pak) Ltd.,"1,447.40",1490.0,1501.0,1440.03,1491.0,45.13,226
Leather Up Ltd.,24.11,25.7,25.7,22.11,24.5,0.84,"6,145"
Service Global,68.22,68.2,70.0,68.2,69.99,1.78,"29,530"
Service Ind.LtdXD,922.60,949.89,950.0,870.1,911.0,-9.33,"30,674"
=== MISCELLANEOUS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Hospitality,133.03,125.1,125.1,119.73,124.99,-8.73,"5,523"
Arpak Int.,56.66,61.95,61.95,61.95,61.95,,1
Diamond Ind.,21.69,23.8,23.8,21.69,23.78,0.3,542
ECOPACK Ltd,30.69,30.0,32.48,30.0,32.0,1.3,"34,938"
Gammon Pak,22.64,23.5,23.9,20.56,21.6,-1.15,"150,945"
Mandviwala,18.29,16.8,16.8,16.55,16.55,-1.57,"1,500"
Olympia Mills,41.95,44.0,46.15,38.0,46.15,1.91,"40,746"
Pak Services,915.42,824.0,915.0,824.0,864.7,-34.47,116
Pakistan Alumin,99.17,103.8,103.88,98.0,102.9,2.14,"69,293"
Shifa Int.Hospital,382.89,370.0,421.0,357.06,401.0,15.87,"11,160"
Siddiqsons Tin,4.43,4.32,4.75,4.22,4.51,0.13,"440,656"
Tri-Pack Films,127.00,126.5,126.5,126.5,126.5,,200
UDL Int.Ltd.,6.25,7.0,7.25,6.94,7.24,0.85,"10,300"
United Brands,21.07,21.96,21.96,19.2,21.49,-0.07,"6,407"
United DistributorXD,55.02,58.99,58.99,53.0,55.51,1.92,"6,780"
=== MODARABAS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
1st.Fid.Leasing,1.85,1.6,2.0,1.6,1.9,0.14,590
AL-Noor Mod,2.33,3.0,3.0,3.0,3.0,0.67,"11,665"
B.F.Modaraba,6.35,6.69,7.34,6.69,7.34,,729
Elite Cap.Mod,20.44,22.36,22.36,18.4,18.4,-2.0,"17,485"
F.Treet Manuf,3.70,3.5,3.9,3.5,3.8,0.03,"2,624"
Habib Modaraba,20.58,21.0,21.79,21.0,21.02,0.44,889
I.B.L.Modarab,3.00,2.9,2.9,2.86,2.86,-0.14,797
Imrooz Modaraba,187.88,185.0,206.0,169.09,206.0,,5
OLP Modaraba,15.53,15.51,15.7,15.51,15.67,0.15,"1,519"
Orient Rental,8.31,9.25,9.25,9.18,9.18,,26
Paramount Mod,7.28,7.5,7.5,6.5,6.5,,2
Popular Islamic,12.52,13.77,13.77,13.77,13.77,1.25,622
Prud Mod.1st,1.64,1.89,1.89,1.7,1.76,0.12,"155,581"
Punjab Mod,2.60,2.17,2.95,2.17,2.8,0.2,"34,856"
Sindh Modaraba,11.37,11.2,11.2,10.7,10.95,-0.06,275
Tri-Star 1st Mod.,12.01,12.0,12.79,11.5,11.5,,4
Trust Modaraba,4.73,4.95,4.95,4.3,4.8,,"18,266"
Unicap Modaraba,2.87,2.9,2.9,2.61,2.71,-0.17,"6,480"
=== OIL & GAS EXPLORATION COMPANIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Energies Ltd.,544.42,550.0,581.0,548.0,578.0,33.82,"3,234,417"
Oil & Gas DevXD,176.39,179.99,185.75,174.26,184.35,8.16,"9,341,157"
Pak Oilfields,488.23,495.0,519.99,495.0,518.0,25.65,"424,221"
Pak PetroleumXD,130.91,132.0,140.0,128.56,137.9,7.95,"9,179,993"
=== OIL & GAS MARKETING COMPANIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum,385.56,389.9,414.98,385.0,412.0,27.3,"50,790"
Burshane LPG,25.58,28.1,28.1,27.0,27.0,,348
Hascol Petrol,8.37,8.41,8.9,7.61,8.71,0.36,"11,173,814"
HI-Tech Lub.,33.42,33.49,33.99,30.5,33.51,0.36,"91,137"
Oilboy Energy,7.95,8.35,8.35,7.51,8.1,0.15,"29,584"
P.S.O.,311.57,311.57,335.0,300.0,329.85,18.25,"6,169,450"
Sui North Gas,105.79,105.5,113.0,105.5,111.7,5.69,"14,847,660"
Sui South Gas,29.22,28.5,28.9,26.3,27.66,-1.53,"29,288,646"
Wafi Energy PakXD,135.24,138.99,140.0,127.0,139.1,3.9,"43,450"
"=== PAPER, BOARD & PACKAGING ==="
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper,20.80,21.15,21.15,20.25,21.0,0.03,"210,554"
Cherat Packaging,87.83,87.9,95.0,85.13,93.9,3.75,"12,949"
Int. Packaging Films,19.75,19.75,20.5,17.8,20.45,0.26,"54,084"
MACPAC Films,13.33,13.6,13.9,13.11,13.75,0.41,"86,236"
Merit Packaging,8.55,8.6,8.75,7.76,8.6,0.2,"23,742"
Packages Ltd.XD,459.44,479.99,484.99,435.0,470.02,18.16,"38,965"
Pak Paper Prod,141.93,141.93,155.0,135.0,155.0,12.18,960
Roshan Packages,13.40,14.25,14.25,12.11,13.6,0.05,"198,390"
Security Paper,137.25,137.25,146.0,137.25,143.9,5.75,"8,204"
SPEL LimitedXD,34.44,34.88,35.3,31.05,35.3,0.27,"891,286"
=== PHARMACEUTICALS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Lab.,814.25,814.0,855.0,790.0,840.0,27.42,"80,982"
AGP Limited,149.96,153.9,162.0,142.0,159.05,9.39,"1,363,952"
BF Biosciences,122.42,123.01,132.0,117.0,128.5,6.87,"1,285,313"
Citi Pharma Ltd,67.10,65.65,65.65,60.5,64.36,-2.44,"5,802,538"
Ferozsons (Lab),245.67,258.33,265.0,246.0,263.99,16.38,"54,038"
GlaxoSmithKline,316.59,318.0,333.95,301.0,325.0,10.51,"374,601"
Haleon Pakistan,677.88,675.0,700.0,660.1,697.0,15.48,"64,301"
Highnoon (Lab)XD,821.36,830.0,839.99,805.0,825.5,1.69,"39,946"
Hoechst Pak Ltd,"3,234.60",3230.0,3250.0,3230.0,3250.0,15.27,"1,180"
IBL HealthCare,30.24,29.01,30.0,28.0,29.28,-1.11,"284,105"
Liven Pharma,52.37,52.37,53.75,50.0,52.47,-1.62,"9,834"
Macter Int. LtdXD,343.66,344.0,350.0,309.29,330.0,-2.25,"9,378"
Otsuka Pak,186.63,190.0,192.25,180.1,190.0,-0.02,"28,583"
The Searle Company,66.65,64.1,70.0,60.66,69.0,1.59,"3,649,595"
=== POWER GENERATION & DISTRIBUTION ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Altern Energy,10.88,11.18,11.21,10.51,11.15,0.25,"400,993"
Engro Powergen,25.70,25.6,27.29,25.1,27.29,1.27,"595,416"
Hub Power Co.,119.00,122.0,126.48,119.5,126.25,6.77,"6,347,439"
K-Electric Ltd.,3.92,3.92,4.05,3.81,4.04,0.09,"14,463,181"
Kohinoor Energy,15.14,15.12,15.49,13.8,15.08,-0.06,"304,683"
Kohinoor Power,5.27,5.01,5.69,4.52,5.48,0.12,"31,987"
Kot Addu Power,28.00,27.22,29.32,27.22,29.24,1.12,"767,305"
Lalpir Power,21.33,22.0,22.77,21.5,22.0,0.84,"200,338"
Nishat ChunPowerXD,21.73,22.29,23.1,21.56,23.1,1.25,"123,164"
Nishat PowerXD,33.26,33.61,34.99,30.1,34.0,0.52,"438,115"
Pakgen PowerXD,126.53,115.0,120.0,115.0,115.11,-9.31,"1,108"
S.G.Power,6.50,6.5,6.5,6.45,6.45,,100
Saif Power Ltd,10.13,10.0,10.79,9.7,10.5,0.32,"495,047"
Tri-Star Power,5.17,5.8,5.8,5.03,5.55,0.38,"18,022"
=== PROPERTY ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.R.R Guardia Ltd,19.45,19.4,20.5,19.4,20.5,,249
Javedan Corp.,53.74,54.0,55.0,52.0,54.98,0.35,"32,091"
Pace (Pak) Ltd.,3.99,4.02,4.5,3.9,4.49,0.43,"6,871,171"
TPL Properties,6.75,6.87,7.2,6.26,7.15,0.25,"3,056,288"
=== REAL ESTATE INVESTMENT TRUST ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City,25.38,25.3,25.7,24.51,25.44,-0.03,"1,223,916"
Globe Residency,15.26,15.2,15.84,15.0,15.84,0.12,"18,378"
TPL REIT Fund I,12.45,12.5,12.5,12.5,12.5,0.05,"10,903"
=== REFINERY ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery,451.05,452.0,481.98,410.0,478.0,27.6,"1,158,587"
Cnergyico PK,5.72,5.76,6.53,5.35,6.48,0.7,"33,590,475"
National Refinery,169.62,169.98,171.4,157.01,167.35,-2.29,"937,484"
Pak Refinery,24.26,22.55,25.1,22.03,24.59,0.3,"15,347,121"
=== SUGAR & ALLIED INDUSTRIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shah,4.79,5.39,5.6,4.51,5.48,0.65,"56,496"
Adam Sugar,47.52,48.99,49.1,47.0,47.0,0.74,"2,016"
Al-Abbas Sugar,732.47,738.0,749.0,697.0,715.14,12.3,192
AL-Noor Sugar,70.34,75.0,75.0,65.0,65.0,,219
Chashma Sugar,58.90,57.1,60.0,57.1,59.0,1.07,"5,515"
Dewan Sugar,5.00,5.0,5.78,4.8,5.45,0.22,"62,235"
Faran Sugar Mills,42.50,41.0,41.0,41.0,41.0,,200
Habib Rice Prod,30.31,32.89,32.89,30.0,30.0,,431
Habib Sugar,69.02,69.05,72.0,68.0,69.41,2.76,"1,737"
Haseeb Waqas Sugar,7.81,7.41,8.2,7.2,7.75,0.18,"9,630"
J.D.W.Sugar,849.99,848.47,864.0,810.0,860.0,13.72,170
Jauharabad Sug,39.67,39.99,41.4,36.1,39.95,0.63,"6,562"
Khairpur Sugar,120.00,110.0,112.0,110.0,112.0,,169
Mehran Sugar,44.87,42.37,48.0,42.37,46.95,-0.67,926
Mirpurkhas Sugar,25.62,27.75,27.75,26.1,27.3,1.68,"4,573"
Noon Sugar,77.17,69.5,69.5,69.5,69.5,,1
Sakrand Sugar,12.35,12.94,12.94,11.26,12.5,-0.03,"11,034"
Sanghar Sugar,50.36,45.35,53.25,45.35,46.0,,49
Shahmurad Sugar,375.00,340.15,385.0,340.15,385.0,10.0,"1,225"
Shahtaj Sugar,126.00,113.42,136.0,113.42,136.0,,125
Shakarganj Limited,63.25,63.25,69.5,57.25,66.9,3.36,"168,819"
Tandlianwala Sugar,114.32,115.0,125.75,103.49,125.75,11.43,"2,417"
Tariq Corp Ltd.,13.04,13.01,13.89,12.51,13.59,0.52,"10,794"
=== SYNTHETIC & RAYON ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Gatron Ind.,101.74,107.99,109.8,100.01,109.8,2.23,"1,202"
Ibrahim Fibres,350.00,345.0,350.0,345.0,349.95,-1.57,887
Image PakistanXD,18.07,18.45,19.74,17.7,19.72,1.58,"3,239,699"
National Silk,42.05,46.24,46.24,37.85,37.85,,11
Pak Synthetics,40.04,41.01,44.04,41.01,44.04,4.0,"16,024"
Rupali Polyester,12.61,12.1,12.85,12.1,12.85,-0.15,"5,346"
=== TECHNOLOGY & COMMUNICATION ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Air Link Commun,127.27,129.75,140.0,116.5,140.0,9.32,"2,697,335"
Avanceon Ltd,40.78,40.0,41.9,37.5,41.49,0.47,"2,775,485"
Hum Network,11.44,11.3,11.89,10.76,11.3,-0.04,"986,217"
Media Times Ltd,1.50,1.42,1.63,1.42,1.5,0.01,"441,053"
Netsol Tech.,114.55,114.0,118.0,108.05,115.51,2.07,"976,401"
Octopus Digital,41.21,40.99,40.99,37.52,39.57,-1.46,"1,023,666"
P.T.C.L.,17.43,16.56,17.9,16.56,17.83,0.11,"3,988,612"
Pak Datacom,94.94,99.7,99.7,85.6,96.48,1.91,"7,276"
Supernet Technologie,844.78,760.32,800.0,760.32,780.0,-64.78,56
Symmetry Group Ltd,12.17,12.17,12.79,11.52,12.7,0.51,"2,921,436"
Systems LimitedXD,479.89,474.02,496.0,461.0,491.0,9.59,"303,102"
Telecard Limited,5.60,5.6,5.99,5.45,5.95,0.34,"4,405,900"
TPL Corp Ltd,3.75,3.51,3.95,3.51,3.85,0.06,"305,864"
TPL Trakker Ltd,4.81,5.01,5.01,4.8,4.99,0.06,"211,795"
TRG Pak Ltd,53.13,53.5,57.4,49.5,57.03,3.14,"5,607,030"
WorldCall Telecom,1.10,1.13,1.18,1.1,1.16,0.06,"47,087,025"
Zarea Limited,14.01,14.02,15.41,13.27,15.0,1.08,"1,706,967"
=== TEXTILE COMPOSITE ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AN Textile Mill,10.20,9.18,9.55,9.18,9.55,-0.93,"61,170"
Artistic Denim,36.87,36.89,37.85,35.53,37.75,0.88,"4,420"
Aruj Industries,7.98,8.44,8.44,6.98,7.5,-0.48,"55,331"
Azgard Nine,6.73,6.75,7.29,6.55,7.1,0.41,"312,558"
Chenab Limited,4.85,5.15,5.55,4.7,5.24,0.16,"77,887"
Chenab Ltd.(Pre,1.82,1.83,2.75,1.83,2.08,0.23,"78,700"
Crescent Tex.,11.79,12.2,12.6,12.0,12.49,0.7,"174,309"
Fazal Cloth,127.00,138.99,138.99,138.99,138.99,,1
Feroze 1888,59.93,54.0,56.0,53.94,55.0,-4.88,"10,568"
Ghazi Fabrics,7.92,8.0,8.87,7.11,8.38,0.25,"25,353"
Gul Ahmed,19.66,19.99,20.49,19.5,20.48,0.62,"201,870"
Hala Enterprise,10.20,9.55,9.89,9.18,9.5,-0.45,"10,444"
Int.Knitwear,15.24,15.14,15.25,13.77,14.66,-0.59,"23,302"
Interloop Ltd.,46.37,49.45,51.01,45.0,51.01,3.67,"499,750"
Jubilee Spinning,9.38,9.86,9.86,8.38,8.38,-0.95,"32,200"
Khyber Textile,668.07,734.88,734.88,734.88,734.88,66.81,498
Kohinoor Ind.,9.32,9.39,9.39,8.52,9.36,0.04,"4,104"
Kohinoor Mills,29.40,26.5,28.79,26.46,28.79,-2.83,"4,359"
Kohinoor Textile,127.06,127.06,135.0,118.0,135.0,5.83,"24,127"
Masood Textile,54.77,58.87,58.9,49.29,49.3,,56
Mehmood Tex.,308.09,277.41,314.99,277.28,314.99,-4.86,110
Nishat (Chun.),32.20,31.5,34.5,30.0,34.5,1.98,"104,982"
Nishat Mills Ltd,101.39,96.0,105.0,96.0,104.99,3.53,"734,422"
Paramount Sp,2.81,3.22,3.27,3.1,3.1,0.41,"10,201"
Quetta Textile,10.67,10.16,11.63,9.7,9.7,0.39,"6,250"
Redco Textile,23.11,23.98,24.99,21.5,23.75,0.04,"2,585"
Reliance Weaving,119.58,108.01,122.0,107.75,108.0,-10.58,546
Sapphire Fiber,"1,034.31",933.2,1049.99,933.2,995.0,-49.93,28
Sapphire Tex.,"1,059.34",1055.0,1148.99,1055.0,1100.0,17.36,121
Stylers Int.Ltd.XD,35.54,37.48,39.09,33.66,39.09,3.36,"11,205"
Suraj Cotton Mills,123.14,132.99,133.0,132.99,133.0,,15
Towellers Limited,98.48,95.15,108.0,95.1,101.39,2.59,"10,493"
ZahidJee Tex.,24.03,0,0,0,0,,1
=== TEXTILE SPINNING ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ali Asghar Textile,44.87,45.5,45.5,40.38,44.28,,102
Amtex Limited,2.44,2.68,2.68,2.1,2.45,0.01,"82,764"
Arctic Textile,18.98,17.89,19.19,17.79,19.17,0.19,"3,811"
Asim Textile,11.91,11.01,12.48,10.72,12.48,-0.14,"17,602"
Bilal Fibres,21.60,20.1,20.99,19.44,20.01,-1.49,"217,413"
Chakwal Spinning,40.94,38.1,41.0,36.85,37.0,-3.72,"867,851"
Colony Tex.Mills Ltd,3.01,3.47,3.47,2.55,2.96,-0.01,"93,353"
D.M.Textile Mills,39.29,37.0,39.0,36.5,38.1,-1.19,"2,700"
D.S. Ind. Ltd.,3.49,3.5,3.95,3.3,3.95,0.41,"199,593"
Dewan Farooque Sp.,2.43,2.39,2.6,2.11,2.33,-0.06,"514,528"
Dewan Mushtaq,10.32,9.3,9.36,9.29,9.29,-1.03,"20,853"
Dewan Textile,6.42,5.42,6.05,5.42,6.05,-0.42,922
Din Textile,49.99,44.99,44.99,44.99,44.99,,91
Gadoon Textile,272.76,294.0,294.0,265.0,268.5,-4.77,"14,574"
Gulistan Sp.,7.01,7.74,7.74,7.74,7.74,,100
Gulshan Sp.,3.17,3.29,3.3,2.53,3.2,,327
Hira Textile,2.64,2.96,2.96,2.32,2.77,0.1,"441,064"
Ideal Spinning,12.90,14.0,14.0,14.0,14.0,,1
Idrees Textile,17.06,15.46,17.95,15.46,17.95,,300
Indus Dyeing,138.39,140.0,143.0,127.5,135.5,1.05,"73,784"
J.A.Textile,17.15,18.15,18.8,18.15,18.45,1.25,536
Janana D Mal,49.66,49.97,49.97,46.0,49.7,-3.48,965
Kohat TextileXD,28.03,28.0,28.0,27.0,28.0,-1.03,"4,155"
Kohinoor Spining,3.94,4.0,4.12,3.51,3.96,0.05,"13,517,642"
Nagina Cotton,50.73,49.5,52.0,48.0,50.0,-2.72,"7,004"
Reliance Cotton,398.40,370.01,436.97,370.01,423.96,,34
Ruby Textile,6.48,6.5,6.98,6.5,6.98,0.1,"2,978"
Saif Textile,8.41,8.31,8.6,8.3,8.6,0.17,"2,500"
Sally Textile,8.00,7.1,8.6,7.0,8.0,-0.86,"11,994"
Saritow Spinning,11.37,10.35,12.49,10.35,12.49,1.08,"27,185"
Service Ind Tex,12.12,12.94,12.94,10.91,11.06,-1.15,"48,474"
Shadab Textile,23.00,25.06,25.06,24.94,24.94,1.94,"3,128"
Sunrays Textile,227.05,227.05,248.89,204.35,210.0,-13.73,"101,806"
Tata Textile,38.17,40.9,40.9,37.0,39.9,1.41,"2,166"
=== TEXTILE WEAVING ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
ICC Industries,8.79,9.42,9.42,8.95,8.95,0.17,"1,661"
Prosperity Weaving,36.10,32.6,36.0,32.5,36.0,-0.1,"1,800"
Shahtaj Textile,69.88,63.0,63.0,63.0,63.0,,1
Yousuf Weaving,3.09,3.05,3.4,2.96,3.24,0.12,"1,808,031"
=== TOBACCO ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco,380.29,355.0,363.99,342.26,342.26,-38.03,"40,163"
Pak TobaccoXD,"1,091.16",1075.01,1149.85,1050.01,1100.0,8.84,"7,792"
Philip Morris Pak.,971.47,1023.95,1023.98,960.0,986.4,14.07,584
=== TRANSPORT ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Cordoba Logist,11.95,11.01,13.15,10.82,13.15,0.95,"72,983"
P.N.S.C,224.45,224.0,235.0,210.02,234.0,6.36,"65,334"
Pak Int.Bulk,7.10,7.19,7.7,7.05,7.61,0.52,"7,951,470"
Pak.Int.Container,33.72,34.86,34.95,33.7,34.3,0.6,"100,169"
Secure Logistics Gro,13.23,13.23,13.65,12.7,13.14,-0.11,"2,628,168"
=== VANASPATI & ALLIED INDUSTRIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Punjab Oil,196.00,176.4,196.0,176.4,185.5,-6.39,"44,577"
S.S.Oil,519.01,519.01,570.91,467.11,570.91,51.9,"114,482"
=== WOOLLEN ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bannu Woollen,25.83,25.51,28.0,25.51,27.8,1.63,"5,570"
=== MODARABAS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Burj Clean Energy,8.11,7.11,7.13,7.11,7.11,-1.0,"5,778"
"=== PAPER, BOARD & PACKAGING ==="
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Agro Pack,8.25,8.5,8.5,8.5,8.5,0.25,"5,000"
=== TECHNOLOGY & COMMUNICATION ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Supernet Ltd.XB,23.52,21.21,22.97,21.21,22.9,-0.58,"52,800"
=== TRANSPORT ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Blue-Ex,48.40,53.24,53.24,53.2,53.2,4.8,501
