=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Growth Fund,9.00,8.38,8.99,8.0,8.86,-0.2,"51,210"
HBL Invest Fund,2.92,2.61,3.0,2.6,3.0,0.04,"410,413"
Tri-Star Mutual,8.12,8.74,8.74,8.72,8.72,,3
=== COMMERCIAL BANKS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Bank LtdXD,125.00,125.1,128.5,125.0,126.0,0.24,"42,495"
Askari Bank,37.59,38.01,39.89,37.01,39.0,1.42,"693,981"
B.O.Punjab,8.68,8.7,9.19,8.53,9.14,0.44,"18,310,598"
Bank Al-FalahXD,67.49,66.98,70.48,66.98,69.89,2.66,"4,507,583"
Bank AL-HabibXD,130.25,130.0,134.98,129.03,134.75,3.43,"994,879"
Bank Makramah,2.90,2.9,3.3,2.81,3.25,0.34,"2,845,795"
Bank Of Khyber,13.73,13.29,14.69,13.29,13.33,0.93,756
Bankislami Pak,18.15,18.9,18.9,17.5,18.2,0.12,"1,812,268"
Faysal BankXD,42.61,43.92,44.0,42.52,44.0,1.24,"1,978,625"
Habib BankXD,129.94,131.0,140.5,130.5,140.0,10.05,"1,956,686"
Habib MetropolitanXD,77.62,79.97,81.49,78.05,80.0,2.38,"484,527"
JS Bank Ltd,7.32,7.0,7.95,7.0,7.69,0.38,"250,975"
MCB Bank LtdXD,266.39,265.0,275.0,264.0,269.01,3.93,"693,599"
Meezan Bank LtdXD,253.07,253.0,258.0,245.0,256.0,3.17,"1,243,316"
National BankXD,75.71,75.2,79.39,74.5,79.25,3.03,"3,877,271"
Samba Bank,7.60,7.4,7.99,7.4,7.99,-0.11,"1,810"
Soneri Bank Ltd,14.01,14.47,14.47,13.96,14.2,0.17,"1,079,769"
St.Chart.Bank,56.87,56.87,58.12,54.5,56.81,1.04,"16,375"
United Bank,448.05,451.0,464.8,434.01,459.0,7.8,"2,542,931"
=== ENGINEERING ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agha Steel Ind.,6.52,6.47,6.83,6.02,6.34,-0.2,"2,826,893"
Aisha Steel Mill,9.22,9.19,9.58,9.0,9.32,0.27,"2,706,107"
Amreli Steels,18.70,18.5,19.5,18.5,19.5,0.37,"228,571"
Beco Steel Ltd,7.72,8.64,8.64,7.5,8.3,0.58,"108,559"
Bolan Casting,81.91,78.0,90.1,75.11,90.0,6.89,"97,146"
Crescent SteelXD,98.90,96.4,106.2,95.0,105.02,6.93,"616,135"
Dadex Eternit,56.30,51.15,61.93,51.02,61.87,4.13,"22,696"
Dost Steels Ltd.,8.36,8.11,8.11,7.51,7.98,-0.5,"978,049"
Int. Ind.Ltd.,120.16,125.0,132.18,119.99,132.18,11.28,"676,079"
Inter.Steel Ltd,64.06,65.0,68.5,62.0,68.5,3.95,"335,653"
Ittefaq Iron Ind,5.50,5.88,6.49,5.35,6.1,0.5,"1,466,157"
K.S.B.Pumps,156.78,163.0,164.0,153.0,160.14,3.62,"205,355"
Metro Steel,7.95,8.8,8.8,7.02,8.35,0.4,"27,318"
Mughal Iron,55.02,52.0,60.52,52.0,60.52,4.54,"462,537"
Pak Engineering,635.73,699.3,699.3,630.0,670.0,,33
=== EXCHANGE TRADED FUNDS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Alfalah Consumer,13.46,13.53,13.75,13.42,13.75,0.29,"7,500"
HBL Total Treasury,117.40,117.1,117.4,117.1,117.3,-0.07,"41,800"
JS Global Banking,20.89,20.36,20.88,19.97,20.45,-0.44,"12,500"
JS Momentum,10.15,10.3,10.67,9.57,10.15,-0.04,"1,667,000"
Mahaana Islamic,13.06,13.05,14.28,12.87,13.55,0.53,"458,500"
Meezan Pakistan,14.90,14.72,16.29,14.57,15.53,0.5,"738,000"
NBP Pakistan G ETF,20.38,20.15,22.39,20.15,22.39,2.01,"2,500"
NIT Pakistan,23.78,24.2,24.2,23.82,24.07,0.29,"3,000"
UBLPakistanETF,23.73,24.36,24.49,23.67,24.49,0.76,"23,000"
=== FERTILIZER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited,43.23,40.1,42.73,39.3,42.3,-1.1,"3,718,660"
Arif Habib Corp,9.55,9.49,10.18,9.31,10.1,0.51,"1,626,247"
Engro FertertXD,155.68,160.0,163.15,158.0,163.0,6.96,"1,879,536"
Fatima Fert,76.21,76.0,79.99,70.0,79.0,1.59,"516,180"
Fauji FertXD,331.30,329.9,339.5,325.0,339.0,6.36,"3,507,282"
=== FOOD & PERSONAL CARE PRODUCTS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corp,5.00,5.19,5.19,4.55,4.9,-0.12,"3,694,678"
At-Tahur Ltd.,47.30,42.57,44.99,42.57,42.57,-4.73,"2,610,849"
Barkat Frisian Agro,24.99,24.81,26.69,24.1,26.49,1.43,"1,387,044"
Big Bird Foods Ltd.,44.04,43.9,45.0,39.64,44.5,0.32,"5,833,357"
Bunnys Limited,22.72,21.95,23.98,20.5,23.5,0.48,"1,279,877"
Clover Pakistan,33.78,34.0,35.49,32.26,34.99,0.83,"140,008"
Colgate Palm,"1,185.85",1180.0,1230.0,1150.0,1205.0,15.15,"11,695"
Fauji Foods Ltd,12.21,12.1,13.2,11.25,13.15,0.83,"10,686,208"
Frieslandcampina,75.31,75.0,79.5,74.0,79.11,3.6,"418,454"
Gillette Pak,237.19,247.86,248.0,213.51,229.98,-8.33,"18,729"
Ismail Ind-,"1,576.00",1700.0,1710.0,1660.01,1670.0,94.0,129
Matco Foods Ltd,32.14,32.99,35.35,32.99,35.34,1.6,"154,424"
MithchellsFruit,158.09,158.0,165.0,145.0,161.0,5.3,"59,280"
Murree BreweryXD,760.43,761.0,799.0,750.0,790.0,33.65,"5,966"
National FoodsXD,209.67,213.3,223.9,205.0,222.0,12.67,"190,457"
Nestle Pakistan,"6,998.84",7300.0,7300.0,6525.0,7145.0,120.31,101
Quice Food,5.54,5.99,6.0,5.5,6.0,0.4,"948,110"
Rafhan Maize,"8,652.00",9099.0,9099.0,8500.0,8640.0,-15.32,194
Shezan Inter.,163.08,172.49,179.0,160.0,172.99,9.9,"5,911"
Shield Corp.,287.76,289.0,289.0,266.0,282.99,-8.83,"1,018"
The Organic Meat,25.90,25.9,26.49,23.57,25.7,-0.29,"1,813,810"
Treet Corp,16.42,16.79,16.84,15.51,16.84,0.17,"3,025,303"
Unilever FoodsXD,"22,080.75",22100.0,22894.99,20898.0,22090.0,-107.87,155
Unity Foods Ltd,24.07,22.51,24.19,22.3,23.25,-0.63,"589,492"
ZIL Limited,267.00,264.02,270.0,260.0,270.0,2.93,156
=== FUTURE CONTRACTS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AICL-MAYB,40.44,41.0,43.0,40.99,42.75,2.44,"122,500"
AGHA-MAY,6.60,6.6,6.6,6.0,6.45,-0.15,"800,500"
AGP-MAYB,148.96,148.0,161.44,144.2,157.91,8.95,"29,000"
AGL-MAY,43.60,42.5,42.5,39.24,42.0,-1.45,"3,859,500"
AIRLINK-JUN,129.97,130.0,140.0,130.0,140.0,5.53,"1,500"
